"station","prov","year","annual"
"SHAWNIGAN LAKE","BC",1984,8.9
"SHAWNIGAN LAKE","BC",1985,8.6
"SHAWNIGAN LAKE","BC",1986,9.9
"SHAWNIGAN LAKE","BC",1987,10.5
"SHAWNIGAN LAKE","BC",1988,10
"SHAWNIGAN LAKE","BC",1989,9.6
"SHAWNIGAN LAKE","BC",1990,9.9
"SHAWNIGAN LAKE","BC",1991,10.1
"SHAWNIGAN LAKE","BC",1992,10.7
"SHAWNIGAN LAKE","BC",1993,9.7
"SHAWNIGAN LAKE","BC",1994,10.2
"SHAWNIGAN LAKE","BC",1995,10.5
"SHAWNIGAN LAKE","BC",1996,9.2
"SHAWNIGAN LAKE","BC",1997,10.2
"SHAWNIGAN LAKE","BC",1998,10.6
"SHAWNIGAN LAKE","BC",1999,9.4
"SHAWNIGAN LAKE","BC",2000,9.5
"SHAWNIGAN LAKE","BC",2001,9.6
"SHAWNIGAN LAKE","BC",2002,9.9
"SHAWNIGAN LAKE","BC",2003,10.5
"SHAWNIGAN LAKE","BC",2004,10.9
"SHAWNIGAN LAKE","BC",2005,10.3
"SHAWNIGAN LAKE","BC",2006,10.3
"SHAWNIGAN LAKE","BC",2007,9.7
"SHAWNIGAN LAKE","BC",2008,9.2
"SHAWNIGAN LAKE","BC",2009,9.6
"SHAWNIGAN LAKE","BC",2010,10
"SHAWNIGAN LAKE","BC",2011,9.1
"SHAWNIGAN LAKE","BC",2012,9.7
"SHAWNIGAN LAKE","BC",2013,10.1
"SHAWNIGAN LAKE","BC",2014,10.8
"SHAWNIGAN LAKE","BC",2015,11.4
"SHAWNIGAN LAKE","BC",2016,10.9
"SHAWNIGAN LAKE","BC",2017,10
"VICTORIA","BC",1899,9.3
"VICTORIA","BC",1900,10.2
"VICTORIA","BC",1901,9.6
"VICTORIA","BC",1902,9.8
"VICTORIA","BC",1903,9.3
"VICTORIA","BC",1904,9.9
"VICTORIA","BC",1905,9.8
"VICTORIA","BC",1906,10.5
"VICTORIA","BC",1907,9.9
"VICTORIA","BC",1908,9.8
"VICTORIA","BC",1909,8.9
"VICTORIA","BC",1910,9.5
"VICTORIA","BC",1911,8.9
"VICTORIA","BC",1912,9.9
"VICTORIA","BC",1913,9.5
"VICTORIA","BC",1914,9.9
"VICTORIA","BC",1915,10.3
"VICTORIA","BC",1916,8.2
"VICTORIA","BC",1917,8.8
"VICTORIA","BC",1918,9.7
"VICTORIA","BC",1919,9
"VICTORIA","BC",1920,9.1
"VICTORIA","BC",1921,9
"VICTORIA","BC",1922,8.8
"VICTORIA","BC",1923,9.8
"VICTORIA","BC",1924,9.6
"VICTORIA","BC",1925,10.3
"VICTORIA","BC",1926,11.1
"VICTORIA","BC",1927,9.4
"VICTORIA","BC",1928,10.1
"VICTORIA","BC",1929,9.4
"VICTORIA","BC",1930,9.4
"VICTORIA","BC",1931,10.3
"VICTORIA","BC",1932,9.6
"VICTORIA","BC",1933,9.2
"VICTORIA","BC",1934,11
"VICTORIA","BC",1935,9.7
"VICTORIA","BC",1936,9.7
"VICTORIA","BC",1937,9.6
"VICTORIA","BC",1938,10
"VICTORIA","BC",1939,10.3
"VICTORIA","BC",1940,10.9
"VICTORIA","BC",1941,11.1
"VICTORIA","BC",1942,10.6
"VICTORIA","BC",1943,10
"VICTORIA","BC",1944,10.5
"VICTORIA","BC",1945,10
"VICTORIA","BC",1946,9.7
"VICTORIA","BC",1947,10.4
"VICTORIA","BC",1948,9.2
"VICTORIA","BC",1949,9.4
"VICTORIA","BC",1950,8.7
"VICTORIA","BC",1951,9.5
"VICTORIA","BC",1952,9.6
"VICTORIA","BC",1953,10.4
"VICTORIA","BC",1954,9.4
"VICTORIA","BC",1955,8.3
"VICTORIA","BC",1956,9.3
"VICTORIA","BC",1957,9.7
"VICTORIA","BC",1958,11.1
"VICTORIA","BC",1959,9.7
"VICTORIA","BC",1960,9.8
"VICTORIA","BC",1961,10.1
"VICTORIA","BC",1962,9.7
"VICTORIA","BC",1963,10.1
"VICTORIA","BC",1964,9.1
"VICTORIA","BC",1965,9.8
"VICTORIA","BC",1966,9.9
"VICTORIA","BC",1967,10.1
"VICTORIA","BC",1968,9.7
"VICTORIA","BC",1969,9.7
"VICTORIA","BC",1970,9.6
"VICTORIA","BC",1971,9.1
"VICTORIA","BC",1972,9.1
"VICTORIA","BC",1973,9.4
"VICTORIA","BC",1974,9.7
"VICTORIA","BC",1975,9.2
"VICTORIA","BC",1976,9.5
"VICTORIA","BC",1977,9.4
"VICTORIA","BC",1978,9.6
"VICTORIA","BC",1979,9.9
"VICTORIA","BC",1980,9.6
"VICTORIA","BC",1981,10
"VICTORIA","BC",1982,9.5
"VICTORIA","BC",1983,10.2
"VICTORIA","BC",1984,9.5
"VICTORIA","BC",1985,8.9
"VICTORIA","BC",1986,10.1
"VICTORIA","BC",1987,10.5
"VICTORIA","BC",1988,9.8
"VICTORIA","BC",1989,9.7
"VICTORIA","BC",1990,9.9
"VICTORIA","BC",1991,10
"VICTORIA","BC",1992,10.8
"VICTORIA","BC",1993,10
"VICTORIA","BC",1994,10.6
"VICTORIA","BC",1995,10.9
"VICTORIA","BC",1996,9.7
"VICTORIA","BC",1997,10.6
"VICTORIA","BC",1998,11
"VICTORIA","BC",1999,10.1
"VICTORIA","BC",2000,10
"VICTORIA","BC",2001,10.1
"VICTORIA","BC",2002,10.2
"VICTORIA","BC",2003,10.9
"VICTORIA","BC",2004,11.2
"VICTORIA","BC",2005,10.5
"VICTORIA","BC",2006,10.5
"VICTORIA","BC",2007,10
"VICTORIA","BC",2008,9.7
"VICTORIA","BC",2009,10
"VICTORIA","BC",2010,10.4
"VICTORIA","BC",2011,9.6
"VICTORIA","BC",2012,10
"VICTORIA","BC",2013,10.1
"VICTORIA","BC",2014,10.8
"VICTORIA","BC",2015,11.3
"VICTORIA","BC",2016,11.3
"VICTORIA","BC",2017,10.2
"BLIND CHANNEL","BC",1959,9.2
"BLIND CHANNEL","BC",1960,9.1
"BLIND CHANNEL","BC",1961,9.6
"BLIND CHANNEL","BC",1962,9.3
"BLIND CHANNEL","BC",1963,9.8
"BLIND CHANNEL","BC",1964,8.5
"BLIND CHANNEL","BC",1965,9.2
"BLIND CHANNEL","BC",1966,9.2
"BLIND CHANNEL","BC",1967,9.7
"BLIND CHANNEL","BC",1968,9
"BLIND CHANNEL","BC",1969,9
"BLIND CHANNEL","BC",1970,8.8
"BLIND CHANNEL","BC",1971,8.2
"BLIND CHANNEL","BC",1972,8.2
"BLIND CHANNEL","BC",1973,8.6
"BLIND CHANNEL","BC",1974,8.9
"BLIND CHANNEL","BC",1975,8.1
"BLIND CHANNEL","BC",1976,8.6
"BLIND CHANNEL","BC",1977,8.7
"BLIND CHANNEL","BC",1978,8.9
"BLIND CHANNEL","BC",1979,9
"BLIND CHANNEL","BC",1980,9.1
"BLIND CHANNEL","BC",1981,9.5
"BLIND CHANNEL","BC",1982,8.7
"BLIND CHANNEL","BC",1983,9.5
"BLIND CHANNEL","BC",1984,8.7
"BLIND CHANNEL","BC",1985,8.4
"BLIND CHANNEL","BC",1986,9.4
"BLIND CHANNEL","BC",1987,10
"BLIND CHANNEL","BC",1988,9.4
"BLIND CHANNEL","BC",1989,9.3
"BLIND CHANNEL","BC",1990,9.2
"BLIND CHANNEL","BC",1991,9.3
"BLIND CHANNEL","BC",1992,9.9
"BLIND CHANNEL","BC",1993,9.2
"BLIND CHANNEL","BC",1994,9.7
"BLIND CHANNEL","BC",1995,9.8
"BLIND CHANNEL","BC",1996,8.5
"BLIND CHANNEL","BC",1997,9.7
"BLIND CHANNEL","BC",1998,10.2
"BLIND CHANNEL","BC",1999,9.3
"BLIND CHANNEL","BC",2000,9.4
"BLIND CHANNEL","BC",2001,9.3
"BLIND CHANNEL","BC",2002,9.6
"BLIND CHANNEL","BC",2003,9.9
"BLIND CHANNEL","BC",2004,10.6
"BLIND CHANNEL","BC",2005,10.1
"BLIND CHANNEL","BC",2006,9.6
"BLIND CHANNEL","BC",2007,9.4
"BLIND CHANNEL","BC",2008,8.9
"BLIND CHANNEL","BC",2009,9.2
"BLIND CHANNEL","BC",2010,10
"BLIND CHANNEL","BC",2011,8.9
"BLIND CHANNEL","BC",2012,NA
"BLIND CHANNEL","BC",2013,NA
"BLIND CHANNEL","BC",2014,NA
"BLIND CHANNEL","BC",2015,10.9
"BLIND CHANNEL","BC",2016,NA
"COMOX","BC",1936,9.1
"COMOX","BC",1937,8.8
"COMOX","BC",1938,9.6
"COMOX","BC",1939,9.9
"COMOX","BC",1940,NA
"COMOX","BC",1941,NA
"COMOX","BC",1942,9.8
"COMOX","BC",1943,NA
"COMOX","BC",1944,9.8
"COMOX","BC",1945,9.6
"COMOX","BC",1946,9.1
"COMOX","BC",1947,9.3
"COMOX","BC",1948,8.5
"COMOX","BC",1949,8.4
"COMOX","BC",1950,8
"COMOX","BC",1951,8.6
"COMOX","BC",1952,9.2
"COMOX","BC",1953,9.7
"COMOX","BC",1954,8.9
"COMOX","BC",1955,8.2
"COMOX","BC",1956,9.2
"COMOX","BC",1957,9.3
"COMOX","BC",1958,11.1
"COMOX","BC",1959,9.6
"COMOX","BC",1960,9.4
"COMOX","BC",1961,10.2
"COMOX","BC",1962,9.6
"COMOX","BC",1963,10
"COMOX","BC",1964,8.8
"COMOX","BC",1965,9.4
"COMOX","BC",1966,9.7
"COMOX","BC",1967,10.4
"COMOX","BC",1968,9.7
"COMOX","BC",1969,9.4
"COMOX","BC",1970,9.4
"COMOX","BC",1971,8.9
"COMOX","BC",1972,8.9
"COMOX","BC",1973,9.1
"COMOX","BC",1974,9.4
"COMOX","BC",1975,8.9
"COMOX","BC",1976,9.2
"COMOX","BC",1977,9.4
"COMOX","BC",1978,9.5
"COMOX","BC",1979,9.7
"COMOX","BC",1980,9.7
"COMOX","BC",1981,10.1
"COMOX","BC",1982,9.5
"COMOX","BC",1983,10
"COMOX","BC",1984,9.3
"COMOX","BC",1985,9.1
"COMOX","BC",1986,10.1
"COMOX","BC",1987,10.8
"COMOX","BC",1988,10.2
"COMOX","BC",1989,10
"COMOX","BC",1990,10.1
"COMOX","BC",1991,10
"COMOX","BC",1992,10.6
"COMOX","BC",1993,9.9
"COMOX","BC",1994,10.5
"COMOX","BC",1995,10.6
"COMOX","BC",1996,9.3
"COMOX","BC",1997,10.2
"COMOX","BC",1998,11
"COMOX","BC",1999,9.8
"COMOX","BC",2000,9.8
"COMOX","BC",2001,9.8
"COMOX","BC",2002,10.1
"COMOX","BC",2003,10.4
"COMOX","BC",2004,11.1
"COMOX","BC",2005,10.6
"COMOX","BC",2006,10.2
"COMOX","BC",2007,9.8
"COMOX","BC",2008,9.5
"COMOX","BC",2009,9.9
"COMOX","BC",2010,10.3
"COMOX","BC",2011,9.5
"COMOX","BC",2012,9.9
"COMOX","BC",2013,10.4
"COMOX","BC",2014,10.8
"COMOX","BC",2015,11.4
"COMOX","BC",2016,11.1
"COMOX","BC",2017,10.2
"PORT HARDY","BC",1945,8
"PORT HARDY","BC",1946,7.9
"PORT HARDY","BC",1947,8.3
"PORT HARDY","BC",1948,7.5
"PORT HARDY","BC",1949,7.7
"PORT HARDY","BC",1950,7
"PORT HARDY","BC",1951,7.6
"PORT HARDY","BC",1952,7.9
"PORT HARDY","BC",1953,8.4
"PORT HARDY","BC",1954,7.6
"PORT HARDY","BC",1955,6.9
"PORT HARDY","BC",1956,7.5
"PORT HARDY","BC",1957,7.9
"PORT HARDY","BC",1958,9.5
"PORT HARDY","BC",1959,8.4
"PORT HARDY","BC",1960,8.2
"PORT HARDY","BC",1961,8.5
"PORT HARDY","BC",1962,8.2
"PORT HARDY","BC",1963,8.9
"PORT HARDY","BC",1964,7.5
"PORT HARDY","BC",1965,7.8
"PORT HARDY","BC",1966,8.3
"PORT HARDY","BC",1967,8.6
"PORT HARDY","BC",1968,8.1
"PORT HARDY","BC",1969,8
"PORT HARDY","BC",1970,7.9
"PORT HARDY","BC",1971,7.3
"PORT HARDY","BC",1972,7.2
"PORT HARDY","BC",1973,7.6
"PORT HARDY","BC",1974,8
"PORT HARDY","BC",1975,7.3
"PORT HARDY","BC",1976,7.8
"PORT HARDY","BC",1977,8
"PORT HARDY","BC",1978,8.2
"PORT HARDY","BC",1979,8.3
"PORT HARDY","BC",1980,8.7
"PORT HARDY","BC",1981,9
"PORT HARDY","BC",1982,7.8
"PORT HARDY","BC",1983,8.9
"PORT HARDY","BC",1984,8.1
"PORT HARDY","BC",1985,7.6
"PORT HARDY","BC",1986,8.8
"PORT HARDY","BC",1987,9
"PORT HARDY","BC",1988,8.6
"PORT HARDY","BC",1989,8.6
"PORT HARDY","BC",1990,8.6
"PORT HARDY","BC",1991,8.6
"PORT HARDY","BC",1992,9.1
"PORT HARDY","BC",1993,8.7
"PORT HARDY","BC",1994,8.9
"PORT HARDY","BC",1995,9.1
"PORT HARDY","BC",1996,8.1
"PORT HARDY","BC",1997,9.3
"PORT HARDY","BC",1998,9.2
"PORT HARDY","BC",1999,8.2
"PORT HARDY","BC",2000,8.4
"PORT HARDY","BC",2001,8.4
"PORT HARDY","BC",2002,8.7
"PORT HARDY","BC",2003,8.9
"PORT HARDY","BC",2004,9.6
"PORT HARDY","BC",2005,9.3
"PORT HARDY","BC",2006,8.6
"PORT HARDY","BC",2007,8.6
"PORT HARDY","BC",2008,8
"PORT HARDY","BC",2009,8.2
"PORT HARDY","BC",2010,9
"PORT HARDY","BC",2011,8.1
"PORT HARDY","BC",2012,8.2
"PORT HARDY","BC",2013,8.8
"PORT HARDY","BC",2014,9.1
"PORT HARDY","BC",2015,9.5
"PORT HARDY","BC",2016,9.2
"PORT HARDY","BC",2017,8.2
"QUINSAM RIVER","BC",1959,8.8
"QUINSAM RIVER","BC",1960,8.6
"QUINSAM RIVER","BC",1961,9.3
"QUINSAM RIVER","BC",1962,8.7
"QUINSAM RIVER","BC",1963,9.3
"QUINSAM RIVER","BC",1964,8.2
"QUINSAM RIVER","BC",1965,9.2
"QUINSAM RIVER","BC",1966,9.3
"QUINSAM RIVER","BC",1967,9.7
"QUINSAM RIVER","BC",1968,8.9
"QUINSAM RIVER","BC",1969,8.7
"QUINSAM RIVER","BC",1970,8.7
"QUINSAM RIVER","BC",1971,8
"QUINSAM RIVER","BC",1972,7.8
"QUINSAM RIVER","BC",1973,8.2
"QUINSAM RIVER","BC",1974,8.7
"QUINSAM RIVER","BC",1975,7.7
"QUINSAM RIVER","BC",1976,8.5
"QUINSAM RIVER","BC",1977,8.6
"QUINSAM RIVER","BC",1978,8.8
"QUINSAM RIVER","BC",1979,8.9
"QUINSAM RIVER","BC",1980,8.8
"QUINSAM RIVER","BC",1981,9.3
"QUINSAM RIVER","BC",1982,8.3
"QUINSAM RIVER","BC",1983,9.3
"QUINSAM RIVER","BC",1984,8.2
"QUINSAM RIVER","BC",1985,NA
"QUINSAM RIVER","BC",1986,9.4
"QUINSAM RIVER","BC",1987,10.1
"QUINSAM RIVER","BC",1988,NA
"QUINSAM RIVER","BC",1989,9.2
"QUINSAM RIVER","BC",1990,9.3
"QUINSAM RIVER","BC",1991,9.4
"QUINSAM RIVER","BC",1992,10.2
"QUINSAM RIVER","BC",1993,9.3
"QUINSAM RIVER","BC",1994,9.9
"QUINSAM RIVER","BC",1995,10.1
"QUINSAM RIVER","BC",1996,8.6
"QUINSAM RIVER","BC",1997,9.8
"QUINSAM RIVER","BC",1998,10.4
"QUINSAM RIVER","BC",1999,9.1
"QUINSAM RIVER","BC",2000,9
"QUINSAM RIVER","BC",2001,9
"QUINSAM RIVER","BC",2002,9.5
"QUINSAM RIVER","BC",2003,9.9
"QUINSAM RIVER","BC",2004,10.6
"QUINSAM RIVER","BC",2005,9.9
"QUINSAM RIVER","BC",2006,9.4
"QUINSAM RIVER","BC",2007,9.1
"QUINSAM RIVER","BC",2008,8.5
"QUINSAM RIVER","BC",2009,8.8
"QUINSAM RIVER","BC",2010,NA
"QUINSAM RIVER","BC",2011,8.6
"QUINSAM RIVER","BC",2012,NA
"QUINSAM RIVER","BC",2013,9.8
"QUINSAM RIVER","BC",2014,NA
"QUINSAM RIVER","BC",2015,10.6
"QUINSAM RIVER","BC",2016,10.4
"QUINSAM RIVER","BC",2017,9.5
"CAPE SCOTT","BC",1922,8.3
"CAPE SCOTT","BC",1923,9.6
"CAPE SCOTT","BC",1924,8.7
"CAPE SCOTT","BC",1925,9.3
"CAPE SCOTT","BC",1926,NA
"CAPE SCOTT","BC",1927,7.9
"CAPE SCOTT","BC",1928,8.8
"CAPE SCOTT","BC",1929,8.4
"CAPE SCOTT","BC",1930,8.4
"CAPE SCOTT","BC",1931,8.6
"CAPE SCOTT","BC",1932,8.4
"CAPE SCOTT","BC",1933,8.5
"CAPE SCOTT","BC",1934,9.3
"CAPE SCOTT","BC",1935,NA
"CAPE SCOTT","BC",1936,NA
"CAPE SCOTT","BC",1937,8.4
"CAPE SCOTT","BC",1938,8.8
"CAPE SCOTT","BC",1939,8.8
"CAPE SCOTT","BC",1940,9.8
"CAPE SCOTT","BC",1941,9.7
"CAPE SCOTT","BC",1942,9.2
"CAPE SCOTT","BC",1943,8.6
"CAPE SCOTT","BC",1944,9
"CAPE SCOTT","BC",1945,8.6
"CAPE SCOTT","BC",1946,8.6
"CAPE SCOTT","BC",1947,8.7
"CAPE SCOTT","BC",1948,NA
"CAPE SCOTT","BC",1949,8.5
"CAPE SCOTT","BC",1950,7.8
"CAPE SCOTT","BC",1951,NA
"CAPE SCOTT","BC",1952,NA
"CAPE SCOTT","BC",1953,NA
"CAPE SCOTT","BC",1954,8.5
"CAPE SCOTT","BC",1955,7.8
"CAPE SCOTT","BC",1956,8.4
"CAPE SCOTT","BC",1957,8.9
"CAPE SCOTT","BC",1958,10.1
"CAPE SCOTT","BC",1959,9
"CAPE SCOTT","BC",1960,8.9
"CAPE SCOTT","BC",1961,9.2
"CAPE SCOTT","BC",1962,8.9
"CAPE SCOTT","BC",1963,9.5
"CAPE SCOTT","BC",1964,8
"CAPE SCOTT","BC",1965,8.2
"CAPE SCOTT","BC",1966,8.6
"CAPE SCOTT","BC",1967,9.1
"CAPE SCOTT","BC",1968,8.8
"CAPE SCOTT","BC",1969,8.5
"CAPE SCOTT","BC",1970,8.5
"CAPE SCOTT","BC",1971,7.9
"CAPE SCOTT","BC",1972,7.8
"CAPE SCOTT","BC",1973,8.1
"CAPE SCOTT","BC",1974,8.6
"CAPE SCOTT","BC",1975,7.8
"CAPE SCOTT","BC",1976,8.5
"CAPE SCOTT","BC",1977,8.4
"CAPE SCOTT","BC",1978,8.9
"CAPE SCOTT","BC",1979,8.9
"CAPE SCOTT","BC",1980,8.9
"CAPE SCOTT","BC",1981,9.4
"CAPE SCOTT","BC",1982,7.9
"CAPE SCOTT","BC",1983,9.3
"CAPE SCOTT","BC",1984,8.6
"CAPE SCOTT","BC",1985,NA
"CAPE SCOTT","BC",1986,NA
"CAPE SCOTT","BC",1987,9.4
"CAPE SCOTT","BC",1988,8.9
"CAPE SCOTT","BC",1989,8.9
"CAPE SCOTT","BC",1990,9
"CAPE SCOTT","BC",1991,9
"CAPE SCOTT","BC",1992,9.6
"CAPE SCOTT","BC",1993,9.4
"CAPE SCOTT","BC",1994,9.4
"CAPE SCOTT","BC",1995,9.9
"CAPE SCOTT","BC",1996,NA
"CAPE SCOTT","BC",1997,10.1
"CAPE SCOTT","BC",1998,9.6
"CAPE SCOTT","BC",1999,8.4
"CAPE SCOTT","BC",2000,8.9
"CAPE SCOTT","BC",2001,NA
"CAPE SCOTT","BC",2002,NA
"CAPE SCOTT","BC",2003,9.2
"CAPE SCOTT","BC",2004,9.3
"CAPE SCOTT","BC",2005,NA
"CAPE SCOTT","BC",2006,NA
"CAPE SCOTT","BC",2007,NA
"CAPE SCOTT","BC",2008,NA
"CAPE SCOTT","BC",2009,NA
"CAPE SCOTT","BC",2010,NA
"CAPE SCOTT","BC",2011,NA
"CAPE SCOTT","BC",2012,NA
"CAPE SCOTT","BC",2013,NA
"CAPE SCOTT","BC",2014,NA
"CAPE SCOTT","BC",2015,NA
"CAPE SCOTT","BC",2016,NA
"ESTEVAN POINT","BC",1924,9.1
"ESTEVAN POINT","BC",1925,9.3
"ESTEVAN POINT","BC",1926,10.1
"ESTEVAN POINT","BC",1927,8.6
"ESTEVAN POINT","BC",1928,9.3
"ESTEVAN POINT","BC",1929,8.1
"ESTEVAN POINT","BC",1930,8.4
"ESTEVAN POINT","BC",1931,9
"ESTEVAN POINT","BC",1932,8.1
"ESTEVAN POINT","BC",1933,8.4
"ESTEVAN POINT","BC",1934,10
"ESTEVAN POINT","BC",1935,9
"ESTEVAN POINT","BC",1936,9.3
"ESTEVAN POINT","BC",1937,9.2
"ESTEVAN POINT","BC",1938,9.4
"ESTEVAN POINT","BC",1939,9.5
"ESTEVAN POINT","BC",1940,10.3
"ESTEVAN POINT","BC",1941,10.4
"ESTEVAN POINT","BC",1942,9.5
"ESTEVAN POINT","BC",1943,9.3
"ESTEVAN POINT","BC",1944,9.6
"ESTEVAN POINT","BC",1945,8.9
"ESTEVAN POINT","BC",1946,8.7
"ESTEVAN POINT","BC",1947,9.3
"ESTEVAN POINT","BC",1948,8.5
"ESTEVAN POINT","BC",1949,8.5
"ESTEVAN POINT","BC",1950,NA
"ESTEVAN POINT","BC",1951,NA
"ESTEVAN POINT","BC",1952,8.8
"ESTEVAN POINT","BC",1953,9.5
"ESTEVAN POINT","BC",1954,9.1
"ESTEVAN POINT","BC",1955,8.2
"ESTEVAN POINT","BC",1956,8.9
"ESTEVAN POINT","BC",1957,9.4
"ESTEVAN POINT","BC",1958,10.6
"ESTEVAN POINT","BC",1959,9.3
"ESTEVAN POINT","BC",1960,9.2
"ESTEVAN POINT","BC",1961,9.6
"ESTEVAN POINT","BC",1962,9.3
"ESTEVAN POINT","BC",1963,9.9
"ESTEVAN POINT","BC",1964,8.5
"ESTEVAN POINT","BC",1965,8.9
"ESTEVAN POINT","BC",1966,9.3
"ESTEVAN POINT","BC",1967,9.4
"ESTEVAN POINT","BC",1968,9
"ESTEVAN POINT","BC",1969,9
"ESTEVAN POINT","BC",1970,8.9
"ESTEVAN POINT","BC",1971,8.2
"ESTEVAN POINT","BC",1972,8.4
"ESTEVAN POINT","BC",1973,8.5
"ESTEVAN POINT","BC",1974,9
"ESTEVAN POINT","BC",1975,8.4
"ESTEVAN POINT","BC",1976,8.9
"ESTEVAN POINT","BC",1977,8.9
"ESTEVAN POINT","BC",1978,9.3
"ESTEVAN POINT","BC",1979,NA
"ESTEVAN POINT","BC",1980,9.4
"ESTEVAN POINT","BC",1981,9.8
"ESTEVAN POINT","BC",1982,8.8
"ESTEVAN POINT","BC",1983,9.9
"ESTEVAN POINT","BC",1984,9.1
"ESTEVAN POINT","BC",1985,8.5
"ESTEVAN POINT","BC",1986,9.6
"ESTEVAN POINT","BC",1987,10.1
"ESTEVAN POINT","BC",1988,9.6
"ESTEVAN POINT","BC",1989,9.6
"ESTEVAN POINT","BC",1990,9.6
"ESTEVAN POINT","BC",1991,9.5
"ESTEVAN POINT","BC",1992,10.3
"ESTEVAN POINT","BC",1993,9.8
"ESTEVAN POINT","BC",1994,9.7
"ESTEVAN POINT","BC",1995,10
"ESTEVAN POINT","BC",1996,9
"ESTEVAN POINT","BC",1997,10.3
"ESTEVAN POINT","BC",1998,10.4
"ESTEVAN POINT","BC",1999,9.3
"ESTEVAN POINT","BC",2000,9.6
"ESTEVAN POINT","BC",2001,9.3
"ESTEVAN POINT","BC",2002,9.6
"ESTEVAN POINT","BC",2003,10.1
"ESTEVAN POINT","BC",2004,NA
"ESTEVAN POINT","BC",2005,10.1
"ESTEVAN POINT","BC",2006,9.6
"ESTEVAN POINT","BC",2007,NA
"ESTEVAN POINT","BC",2008,8.8
"ESTEVAN POINT","BC",2009,9.2
"ESTEVAN POINT","BC",2010,9.8
"ESTEVAN POINT","BC",2011,9.1
"ESTEVAN POINT","BC",2012,9.2
"ESTEVAN POINT","BC",2013,9.7
"ESTEVAN POINT","BC",2014,10.4
"ESTEVAN POINT","BC",2015,11
"ESTEVAN POINT","BC",2016,10.7
"ESTEVAN POINT","BC",2017,9.9
"QUATSINO","BC",1896,8.2
"QUATSINO","BC",1897,8.8
"QUATSINO","BC",1898,9
